,I,I_sf,A,A_sf,S,S_sf,H,H_sf,W,W_sf
1,756,-1,96,-3,-358,-2,-236,-1,235,-3
2,757,-1,103,-3,-350,-2,-238,-1,263,-3
3,770,-1,94,-3,-350,-2,-243,-1,271,-3
4,752,-1,88,-3,-354,-2,-235,-1,272,-3
5,740,-1,86,-3,-357,-2,-235,-1,274,-3
6,702,-1,87,-3,-318,-2,-227,-1,280,-3
7,706,-1,88,-3,-266,-2,-236,-1,271,-3
8,664,-1,85,-3,-175,-2,-222,-1,261,-3
9,670,-1,91,-3,-128,-2,-224,-1,243,-3
10,601,-1,102,-3,-78,-2,-182,-1,210,-3
11,544,-1,77,-3,-16,-2,-132,-1,164,-3
12,631,-1,49,-3,-113,-2,-117,-1,96,-3